old_ap_model,new_ap_model
C9120i 5GHz + 5GHz,C9120i 5GHz + 5GHz
C9120i 2.4GHz + 5GHz,C9120i 2.4GHz + 5GHz
AP4800 2.4GHz + 5GHz,C9120i 2.4GHz + 5GHz
AP4800 5GHz + 5GHz,C9120i 5GHz + 5GHz
C9120AXE + AIR-ANT2566P4WR,C9120AXE + AIR-ANT2566P4WR
AP1562I,AP1562I
AP1562E +  Cisco AIR-ANT2588P3M-N,AP1562E +  Cisco AIR-ANT2588P3M-N
AP2802E + Cisco AIR-ANT2566D4M-R,C9120e + Cisco AIR-ANT2566D4M-R
AP2802E + Cisco AIR-ANT2535SDW-R,C9120e + Cisco AIR-ANT2535SDW-R
AP2802E + Cisco AIR-ANT2566P4W-R,C9120e + Cisco AIR-ANT2566P4W-R
.11n/ac Dual Radio,.11n/ac Dual Radio
